sentence,sentiment,sentiment_encoded
"the geosolutions technology will leverage benefon 's gps solutions by providing location based search technology , a communities platform , location relevant multimedia content and a new and powerful commercial model .",positive,2
"$esi on lows, down $1.50 to $2.50 bk a real possibility",negative,0
"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",positive,2
"according to the finnish-russian chamber of commerce , all the major construction companies of finland are operating in russia .",neutral,1
"the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland .",neutral,1
$spy wouldn't be surprised to see a green close,positive,2
shell's $70 billion bg deal meets shareholder skepticism,negative,0
"ssh communications security corp stock exchange release october 14 , 2008 at 2:45 pm the company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,0
kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,2
"the stockmann department store will have a total floor space of over 8,000 square metres and stockmann 's investment in the project will have a price tag of about eur 12 million .",neutral,1
circulation revenue has increased by 5 % in finland and 4 % in sweden in 2008 .,positive,2
$sap q1 disappoints as #software licenses down. real problem? #cloud growth trails $msft $orcl $goog $crm $adbe https://t.co/jndphllzq5,negative,0
"the subdivision made sales revenues last year of eur 480.7 million eur 414.9 million in 2008 , and operating profits of eur 44.5 million eur 7.4 million .",positive,2
viking line has canceled some services .,neutral,1
"ahlstrom corporation stock exchange announcement 7.2.2007 at 10.30 a total of 56,955 new shares of ahlstrom corporation have been subscribed with option rights under the company 's stock option programs i 2001 and ii 2001 .",neutral,1
$fb gone green on day,positive,2
$msft sql server revenue grew double-digit with sql server premium revenue growing over 30% http://stks.co/ir2f,positive,2
"according to l+ã±nnen tehtaat 's ceo matti karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,1
the company 's share is quoted on nasdaq omx helsinki rautaruukki oyj : rtrks .,neutral,1
elcoteq se is listed on the nasdaq omx helsinki ltd. .,neutral,1
two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer .,neutral,1
"aviva, friends life top forecasts ahead of 5.6 billion pound merger",positive,2
"in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water .",neutral,1
the company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,1
the company closed last year with a turnover of about four million euros .,neutral,1
shire ceo steps up drive to get baxalta board talking,positive,2
costco: a premier retail dividend play https://t.co/fa5cnh2t0t $cost,positive,2
"the five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. it will also include apartments .",neutral,1
"the first installment of the cinema series concludes with a profile of finnish inventor olavi linden , whose personal artistic journey and work at fiskars has led to dozens of design awards .",neutral,1
all are welcome .,neutral,1
"stockmann and swedish sector company ab lindex entered into an agreement on september 30 , 2007 , whereby stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of lindex 's issued shares .",positive,2
"huhtamaki oyj stock exchange release , 16.9.2008 at 13.32 huhtamaki 's capital markets day for institutional investors and analysts is held in espoo , september 16 , 2008 starting at 13.30 pm finnish time .",neutral,1
`` we are pleased to welcome tapeks noma into cramo group .,positive,2
- profit before taxes was eur 105.9 82.7 million .,neutral,1
royal dutch shell to buy bg group for nearly $70 billion,positive,2
"financialwire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,1
assa abloy kaupthing bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on swedish lock maker assa abloy ab .,neutral,1
"the item included restructuring costs of eur1 .6 m , while a year earlier they were eur13 .1 m. diluted eps stood at eur0 .3 versus a loss per share of eur 0.1 .",positive,2
in 2005 the bank posted a net profit of lt 8.2 mn .,neutral,1
$aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,0
$tsla recalling pretty much every single model x @cnnbrk got to short that even at work you jump in money trade,negative,0
"dolce & gabbana has asked the european union to declare marimekko corporation 's `` unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,0
intercontinental hotels first-quarter global room revenue lags estimates,negative,0
"according to finnish pension insurance company varma , varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in finland .",positive,2
"a portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj .",positive,2
"l&g still paying price for dividend cut during crisis, chief says",negative,0
the volume of investments in the two phases of the project is estimated at usd 300mn ( eur 215.03 mn ) .,neutral,1
"russia accounted for 9 % of the lagardere magazine division 's revenue , or eur 114.40 mn ( usd 148.11 mn ) in 2009 , the usa - for 18 % .",neutral,1
the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,positive,2
profit of the accounting period was eur 0.3 mn .,neutral,1
"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,2
"in august-october 2010 , the company 's result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",positive,2
"systeemitiimi 's sales and project resources will also be strengthened , director paul skogberg said .",positive,2
tesco share price jumps as q3 sales top estimates,positive,2
the fine print is here .,neutral,1
the price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,2
"thus , sysopen digia has , in accordance with chapter 14 section 21 of the finnish companies act 29.9.1978 - 734 , obtained title to all the shares of sentera that are to be redeemed .",neutral,1
diluted earnings per share ( eps ) fell to eur 0.63 from eur 1.71 .,neutral,1
"at 3:37 p.m. eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,1
"some of the most recent technology deliveries include refinery technology to anrak aluminium , an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel .",neutral,1
$vips similar pattern like beginning of may. did u sell? same now..will go up much higher after this drop.,positive,2
the firm generated sales of 187 mln eur in 2005 .,neutral,1
"stora enso has also had meetings with the labor authorities , employment and economic development centres and representatives of the government in order to find solutions .",neutral,1
astrazeneca profit down as sales of stalwarts fade,negative,0
"rt @andrewnyquist chartology: yahoo: http://stks.co/1itr $yhoo  crazy looking chart, but nearing breakout resistance line...",positive,2
most bullish stocks on twitter during this dip. $yhoo $gdx $googl $stz $gold $ew $vz $celg $sbux $scty more: https://t.co/iuzjelfwt3,positive,2
"finnish geosentric 's net sales decreased to eur 939,000 in january-march 2009 .",negative,0
"cohen & steers , inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,1
more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,2
"paper companies were in negative territories , with stora enso r shedding 1.62 pct to 12.73 eur , upm-kymmene down 0.80 pct at 18.64 eur and m-real b 0.18 pct lower at 5.57 eur .",neutral,1
kauko-telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year .,neutral,1
operating profit for the quarter april-june 2006 amounted to eur182 .2 m on sales of eur3 .62 bn .,neutral,1
atria chose the delight to attract consumers in the 25-45 age group to its atria fresh range of microwaveable meals .,neutral,1
"finnish it solutions provider affecto oyj hel : afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",neutral,1
us sanctions put gazprom-shell alliance plans in jeopardy,negative,0
"profit for the period was eur 10.9 mn , down from eur 14.3 mn in 2009 .",neutral,1
"profit for the period was eur 5.9 mn , up from eur 1.3 mn .",positive,2
